,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params
0,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035000006357828774,0.0035590584183557666,0.01700003941853841,0.0014141672603851711,34.55097089453417,4,0.00872694419202044,linear,"{'C': 34.55097089453417, 'degree': 4, 'gamma': 0.00872694419202044, 'kernel': 'linear'}"
29,0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,1,0.037999868392944336,0.005099164275597186,0.018000046412150066,0.004320658908312845,1000000.0,4,3.370499237762171e-05,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 3.370499237762171e-05, 'kernel': 'poly'}"
28,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.21233320236206055,0.003681714421231899,0.0646668275197347,0.0016996590817492557,113462.07688664863,4,1e-06,poly,"{'C': 113462.07688664863, 'degree': 4, 'gamma': 1e-06, 'kernel': 'poly'}"
27,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.31800007820129395,0.0924444877661041,0.0733332633972168,0.008379774817703241,0.0009864788905944507,1,1e-06,rbf,"{'C': 0.0009864788905944507, 'degree': 1, 'gamma': 1e-06, 'kernel': 'rbf'}"
26,0.9734513274336283,0.9755011135857461,0.9865470852017937,0.9784706755753526,0.0057437808481749396,1,0.0386666456858317,0.0012472349320385085,0.01833335558573405,0.00047142655959197545,0.01052237732997403,4,0.050919188740764114,linear,"{'C': 0.01052237732997403, 'degree': 4, 'gamma': 0.050919188740764114, 'kernel': 'linear'}"
25,0.9269911504424779,0.9510022271714922,0.9394618834080718,0.9391239792130661,0.009821664502504839,1,0.0903333028157552,0.004496969500014687,0.037666638692220054,0.005312363328676197,7.104350065862047e-05,7,0.439912621601911,linear,"{'C': 7.104350065862047e-05, 'degree': 7, 'gamma': 0.439912621601911, 'kernel': 'linear'}"
24,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035000006357828774,0.002160200692859184,0.016666650772094727,0.0026246607333511155,540228.1314265475,3,0.007026557577940842,linear,"{'C': 540228.1314265475, 'degree': 3, 'gamma': 0.007026557577940842, 'kernel': 'linear'}"
23,0.9734513274336283,0.977728285077951,0.9753363228699552,0.9755011135857461,0.0017528038365944968,1,0.045666774113972984,0.0009426845167186228,0.025999943415323894,1.1239159602905075e-07,0.0007952228143992522,8,10.0,linear,"{'C': 0.0007952228143992522, 'degree': 8, 'gamma': 10.0, 'kernel': 'linear'}"
22,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035666704177856445,0.001247128731420033,0.016666571299235027,0.0026247414806517093,0.668641765593808,5,0.24473258881766866,linear,"{'C': 0.668641765593808, 'degree': 5, 'gamma': 0.24473258881766866, 'kernel': 'linear'}"
21,0.9690265486725663,0.977728285077951,0.968609865470852,0.9717891610987379,0.004203038544928106,1,0.04999995231628418,0.0037415773545775976,0.030666828155517578,0.001247128731420033,0.00028108710116846224,4,1.1079915119264997e-05,linear,"{'C': 0.00028108710116846224, 'degree': 4, 'gamma': 1.1079915119264997e-05, 'kernel': 'linear'}"
20,0.9845132743362832,0.9866369710467706,0.9865470852017937,0.985894580549369,0.0009823129957200912,1,0.04133335749308268,0.0030912477828979263,0.02000006039937337,0.0016329721386832868,181461.71555882538,3,2.5140035671583783e-05,poly,"{'C': 181461.71555882538, 'degree': 3, 'gamma': 2.5140035671583783e-05, 'kernel': 'poly'}"
19,0.9712389380530974,0.9755011135857461,0.9641255605381166,0.9703043801039347,0.004683588321468409,1,0.048333326975504555,0.003399505193990856,0.01766665776570638,0.0009426845167186227,486.03805956127394,7,0.0016616050517818158,poly,"{'C': 486.03805956127394, 'degree': 7, 'gamma': 0.0016616050517818158, 'kernel': 'poly'}"
18,0.9646017699115044,0.9732739420935412,0.9596412556053812,0.9658500371195249,0.00562655458314836,1,0.048333168029785156,0.0016995499801642211,0.016333341598510742,0.0016997370119428347,5.392533491294892,8,0.0007644483313313494,poly,"{'C': 5.392533491294892, 'degree': 8, 'gamma': 0.0007644483313313494, 'kernel': 'poly'}"
17,0.9690265486725663,0.9755011135857461,0.984304932735426,0.9762435040831478,0.0062592868288841716,1,0.04200005531311035,0.003265944275432696,0.023000160853068035,0.0016329721386832868,3856.196226256683,5,2.2538686783790115e-06,rbf,"{'C': 3856.196226256683, 'degree': 5, 'gamma': 2.2538686783790115e-06, 'kernel': 'rbf'}"
16,0.9823008849557522,0.9799554565701559,0.984304932735426,0.9821826280623608,0.0017746786928059684,1,0.04166658719380697,0.00997783697220846,0.022333383560180664,0.003091136375167059,44964.59699509233,2,1.5310924314133235e-06,poly,"{'C': 44964.59699509233, 'degree': 2, 'gamma': 1.5310924314133235e-06, 'kernel': 'poly'}"
15,0.9845132743362832,0.9866369710467706,0.9865470852017937,0.985894580549369,0.0009823129957200912,1,0.04000004132588705,0.0063769662870243275,0.01700003941853841,0.0014141672603851711,33945.21604959823,3,8.706807847373538,poly,"{'C': 33945.21604959823, 'degree': 3, 'gamma': 8.706807847373538, 'kernel': 'poly'}"
14,0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,1,0.04466652870178223,0.009104371977474436,0.018666744232177734,0.0033992869916783294,1000000.0,4,2.332876816469732e-05,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 2.332876816469732e-05, 'kernel': 'poly'}"
13,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.2046666145324707,0.002054849120084089,0.04600008328755697,0.004242726555415139,1000000.0,8,1e-06,poly,"{'C': 1000000.0, 'degree': 8, 'gamma': 1e-06, 'kernel': 'poly'}"
12,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.03833333651224772,0.002356964160325223,0.017333269119262695,0.00309116208311374,1000000.0,1,10.0,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'}"
11,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.03966673215230306,0.001247022531886782,0.019666671752929688,0.00047137035374583886,1000000.0,1,1e-06,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 1e-06, 'kernel': 'poly'}"
10,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.039333343505859375,0.0012473198920991992,0.019999901453653973,0.0008165347377806026,1000000.0,1,1e-06,poly,"{'C': 1000000.0, 'degree': 1, 'gamma': 1e-06, 'kernel': 'poly'}"
9,0.9800884955752213,0.9755011135857461,0.984304932735426,0.9799554565701559,0.0035893607351490326,1,0.03699986139933268,0.0037416623160851804,0.01699995994567871,0.0035589467688834425,0.0035631334363192156,1,0.00014382735240367885,linear,"{'C': 0.0035631334363192156, 'degree': 1, 'gamma': 0.00014382735240367885, 'kernel': 'linear'}"
8,0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,1,0.04199997584025065,0.004320474963289261,0.016666730244954426,0.0009428530990877068,4.087441477657528e-06,4,4.540462568863969,poly,"{'C': 4.087441477657528e-06, 'degree': 4, 'gamma': 4.540462568863969, 'kernel': 'poly'}"
7,0.9380530973451328,0.9510022271714922,0.9394618834080718,0.9428359317000743,0.005803012647889167,1,0.08266671498616536,0.017172256942390676,0.032999912897745766,0.0032659442773665735,8.297037991086251e-05,1,3.242337567094093,linear,"{'C': 8.297037991086251e-05, 'degree': 1, 'gamma': 3.242337567094093, 'kernel': 'linear'}"
6,0.8672566371681416,0.9131403118040089,0.8923766816143498,0.89086859688196,0.01879306751367316,1,0.1293331782023112,0.0016998461126703462,0.06199995676676432,0.00927350338652309,2.6658588242746913e-05,6,0.02098026348014338,linear,"{'C': 2.6658588242746913e-05, 'degree': 6, 'gamma': 0.02098026348014338, 'kernel': 'linear'}"
5,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.036333322525024414,0.00047137035374583886,0.018000046412150066,0.0008165347377806026,0.2874012008273656,6,4.946245778128396e-06,linear,"{'C': 0.2874012008273656, 'degree': 6, 'gamma': 4.946245778128396e-06, 'kernel': 'linear'}"
4,0.9845132743362832,0.9821826280623608,0.9820627802690582,0.9829250185597624,0.0011297554344409516,1,0.0559999148050944,0.0021601639056400704,0.021666765213012695,0.0012472561801920338,422.32415650214,5,0.07365455609157902,poly,"{'C': 422.32415650214, 'degree': 5, 'gamma': 0.07365455609157902, 'kernel': 'poly'}"
3,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.25700004895528156,0.005354034937575338,0.07199994723002116,0.0029440038671581584,0.03593578500122067,3,0.20333481528940595,rbf,"{'C': 0.03593578500122067, 'degree': 3, 'gamma': 0.20333481528940595, 'kernel': 'rbf'}"
2,0.9712389380530974,0.977728285077951,0.9753363228699552,0.9747587230883444,0.0026846076088847585,1,0.04633339246114095,0.0023570765519212522,0.0236666202545166,0.0028674279348812263,0.0005882876253502906,6,0.09430707591923618,linear,"{'C': 0.0005882876253502906, 'degree': 6, 'gamma': 0.09430707591923618, 'kernel': 'linear'}"
1,0.9712389380530974,0.9755011135857461,0.9641255605381166,0.9703043801039347,0.004683588321468409,1,0.046000003814697266,0.0008165347532506985,0.017333428064982098,0.0016996590817492559,1570.4679743488632,7,0.0007579717293349612,poly,"{'C': 1570.4679743488632, 'degree': 7, 'gamma': 0.0007579717293349612, 'kernel': 'poly'}"
30,0.9800884955752213,0.9755011135857461,0.9887892376681614,0.9814402375649591,0.005500289603158581,1,0.03400007883707682,0.006377028597610028,0.014999945958455404,1.1239159602905075e-07,0.0022131804752044165,4,0.018921826566569162,linear,"{'C': 0.0022131804752044165, 'degree': 4, 'gamma': 0.018921826566569162, 'kernel': 'linear'}"
31,0.9734513274336283,0.9755011135857461,0.9865470852017937,0.9784706755753526,0.0057437808481749396,1,0.04166674613952637,0.0024946397841983984,0.02066667874654134,0.002054745983452842,147033.07543730535,8,1.5035476900504455e-05,rbf,"{'C': 147033.07543730535, 'degree': 8, 'gamma': 1.5035476900504455e-05, 'kernel': 'rbf'}"
